osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
5740849,740,847680,Brokopondo,SR,BR,847680,brokopondo,SR-BR,,"{""area_sr"": 0.59855, ""area_km2"": 7343, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 85.7, ""side_estim_deg"": 0.7737, ""elongation_factor"": 2.13}"
5740850,740,952510,Commewijne,SR,CM,952510,commewijne,SR-CM,,"{""area_sr"": 0.29295, ""area_km2"": 3588, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 59.9, ""side_estim_deg"": 0.5412, ""elongation_factor"": 1.58}"
5740851,740,1130141,Coronie,SR,CR,1130141,coronie,SR-CR,,"{""area_sr"": 0.44117, ""area_km2"": 5404, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 73.5, ""side_estim_deg"": 0.6642, ""elongation_factor"": 1.67}"
5740852,740,1140897,Marowijne,SR,MA,1140897,marowijne,SR-MA,,"{""area_sr"": 0.55691, ""area_km2"": 6821, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 82.6, ""side_estim_deg"": 0.7463, ""elongation_factor"": 1.32}"
5740853,740,1147515,Nickerie,SR,NI,1147515,nickerie,SR-NI,,"{""area_sr"": 0.53574, ""area_km2"": 6563, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 81, ""side_estim_deg"": 0.7319, ""elongation_factor"": 1.77}"
5740854,740,1140891,Para,SR,PR,1140891,para,SR-PR,,"{""area_sr"": 0.4364, ""area_km2"": 5349, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 73.1, ""side_estim_deg"": 0.6606, ""elongation_factor"": 3.34}"
5740855,740,1130134,Paramaribo,SR,PM,1130134,paramaribo,SR-PM,,"{""area_sr"": 0.02543, ""area_km2"": 311, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.6, ""side_estim_deg"": 0.1595, ""elongation_factor"": 2.4}"
5740856,740,1351157,Saramacca,SR,SA,1351157,saramacca,SR-SA,,"{""area_sr"": 0.45405, ""area_km2"": 5561, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 74.6, ""side_estim_deg"": 0.6738, ""elongation_factor"": 1.5}"
5740857,740,1130138,Sipaliwini,SR,SI,1130138,sipaliwini,SR-SI,,"{""area_sr"": 9.13984, ""area_km2"": 112256, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 335, ""side_estim_deg"": 3.0232, ""elongation_factor"": 2.26}"
5740858,740,1147524,Wanica,SR,WA,1147524,wanica,SR-WA,,"{""area_sr"": 0.04723, ""area_km2"": 578, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24, ""side_estim_deg"": 0.2173, ""elongation_factor"": 2.82}"
